Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
0%,0.05%,thread_FH,[kernel.kallsyms],ktime_get_update_offsets_now,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],__wake_up_common,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.05%,feptx,nr-softmodem,memcpy@plt,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],ip_output,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],x86_pmu_disable,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],htb_dequeue,PHY,LOW PHY,,,-0.05%,,172.37%,0.00%,55.06%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],raise_softirq,PHY,LOW PHY,,,-0.04%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.04%,thread_FH,libpthread-2.27.so,__pthread_mutex_cond_lock,PHY,LOW PHY,,,-0.04%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.04%,TASK_RRC_GNB,nr-softmodem,rrc_gnb_task,RRC,,,,-0.04%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.04%,thread_FH,[kernel.kallsyms],lapic_next_deadline,PHY,LOW PHY,,,-0.04%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.04%,feptx,[kernel.kallsyms],rcu_note_context_switch,PHY,LOW PHY,,,-0.04%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],read_tsc,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],enqueue_top_rt_rq,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,feptx,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],mutex_lock,RRC,,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool2_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],release_sock,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool2_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],resched_curr,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],cpuacct_account_field,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],rcu_check_callbacks,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],kfree_skbmem,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool3_-1,nr-softmodem,nr_ulsch_scale_channel,PHY,HIGH PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool2_-1,nr-softmodem,nr_rlc_entity_am_set_time,RLC,,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],get_nohz_timer_target,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[unknown],0xfffffe00001bf01b,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,libc-2.27.so,__libc_disable_asynccancel,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,feptx,libdfts.so,idft256@plt,PHY,LOW PHY,DFT,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],__acct_update_integrals,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],htb_enqueue,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,Tpool0_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],__cgroup_account_cputime,PHY,LOW PHY,,,-0.03%,,172.37%,0.00%,55.06%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],netem_dequeue,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool3_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool1_-1,libldpc.so,ldpc_BG2_Zc104_byte,PHY,HIGH PHY,LDPC,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],__fdget,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],__rcu_read_lock,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool3_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool0_-1,nr-softmodem,nr_fr1_dlsch_preprocessor,MAC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],ktime_get_ts64,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],select_estimate_accuracy,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_GNB_APP,libc-2.27.so,cfree@GLIBC_2.2.5,SL,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],___slab_alloc,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],rcu_note_context_switch,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],rb_next,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],pick_next_task_stop,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],irq_work_tick,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool0_-1,nr-softmodem,nr_ulsch_scale_channel,PHY,HIGH PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],dequeue_task_rt,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],ep_item_poll.isra.12,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[kernel.kallsyms],update_rq_clock,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],fsnotify,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,pdcp_timer,[kernel.kallsyms],__perf_event_task_sched_in,PDCP,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_out,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],ixgbe_select_queue,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],tcp_send_ack,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],rcu_note_context_switch,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],rb_insert_color,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool1_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feptx,[unknown],0xfffffe000003701b,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],htb_lookup_leaf,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],skb_release_all,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,thread_FH,[kernel.kallsyms],timespec64_add_safe,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,pdcp_timer,[kernel.kallsyms],dequeue_rt_stack,PDCP,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],__fsnotify_parent,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,Tpool2_-1,nr-softmodem,nr_processULSegment,PHY,HIGH PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,feprx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],pick_next_task_fair,RRC,,,,-0.02%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_GNB_APP,[kernel.kallsyms],_raw_spin_lock,SL,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,pdcp_timer,[kernel.kallsyms],_raw_spin_unlock,PDCP,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_RRC_GNB,nr-softmodem,itti_receive_msg,RRC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,PDCP,data,[kernel.kallsyms],PDCP,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,Tpool3_-1,nr-softmodem,nr_rlc_tick,RLC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],__sched_text_start,RRC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,pdcp_timer,[kernel.kallsyms],finish_task_switch,PDCP,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_RRC_GNB,[unknown],0xfffffe00001bf025,RRC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,pdcp_timer,[kernel.kallsyms],futex_wait_setup,PDCP,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_RRC_GNB,[unknown],0xfffffe00001bf01e,RRC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],__cgroup_account_cputime,RRC,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,nr-softmodem,gtpv1uTask,NG,,,,-0.01%,,172.37%,0.00%,55.06%,0.01%,-0.01%
0%,0.00%,feptx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,TASK_GNB_APP,[kernel.kallsyms],nmi_handle,SL,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,TASK_GNB_APP,[kernel.kallsyms],intel_pmu_handle_irq,SL,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,PDCP,data,[kernel.kallsyms],PDCP,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],native_apic_mem_write,NG,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,PDCP,data,[kernel.kallsyms],PDCP,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
0%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,,,,0.00%,,172.37%,0.00%,55.06%,0.00%,0.00%
