Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
0.04%,0.05%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,DFT,,-0.01%,,172.37%,0.07%,55.06%,0.03%,0.04%
0.04%,0%,thread_FH,[kernel.kallsyms],SYSC_recvfrom,PHY,LOW PHY,,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0%,thread_FH,[kernel.kallsyms],native_queued_spin_lock_slowpath,PHY,LOW PHY,,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.03%,thread_FH,[kernel.kallsyms],tcp_recv_timestamp,PHY,LOW PHY,,0.01%,,,172.37%,0.07%,55.06%,0.02%,0.05%
0.04%,0.14%,Tpool3_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.10%,,172.37%,0.07%,55.06%,0.08%,-0.01%
0.04%,0%,thread_FH,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,,-0.10%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.03%,thread_FH,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,0.01%,,,172.37%,0.07%,55.06%,0.02%,0.05%
0.04%,0.34%,feptx,nr-softmodem,nr_feptx0,PHY,LOW PHY,,,-0.30%,,172.37%,0.07%,55.06%,0.19%,-0.12%
0.04%,0.03%,thread_FH,[kernel.kallsyms],_copy_to_iter,PHY,LOW PHY,,0.01%,,,172.37%,0.07%,55.06%,0.02%,0.05%
0.04%,0%,feptx,[kernel.kallsyms],get_futex_key_refs.isra.11,PHY,LOW PHY,,0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.19%,thread_FH,[kernel.kallsyms],tcp_poll,PHY,LOW PHY,,,-0.15%,,172.37%,0.07%,55.06%,0.10%,-0.04%
0.04%,0%,feptx,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,-0.15%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.05%,thread_FH,[kernel.kallsyms],__check_object_size,PHY,LOW PHY,,,-0.01%,,172.37%,0.07%,55.06%,0.03%,0.04%
0.04%,0.02%,thread_FH,[kernel.kallsyms],__virt_addr_valid,PHY,LOW PHY,,0.02%,,,172.37%,0.07%,55.06%,0.01%,0.06%
0.04%,0.19%,feptx,libdfts.so,idft,PHY,LOW PHY,DFT,,-0.15%,,172.37%,0.07%,55.06%,0.10%,-0.04%
0.04%,0.17%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,,,-0.13%,,172.37%,0.07%,55.06%,0.09%,-0.02%
0.04%,0.03%,thread_FH,[kernel.kallsyms],ipv4_dst_check,PHY,LOW PHY,,0.01%,,,172.37%,0.07%,55.06%,0.02%,0.05%
0.04%,0.06%,feprx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.02%,,172.37%,0.07%,55.06%,0.03%,0.04%
0.04%,0%,feptx,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,-0.02%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.05%,thread_FH,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,,-0.01%,,172.37%,0.07%,55.06%,0.03%,0.04%
0.04%,0%,TASK_RRC_GNB,[kernel.kallsyms],find_busiest_group,RRC,,,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.03%,0.05%,Tpool2_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,,-0.02%,,172.37%,0.05%,55.06%,0.03%,0.02%
0.03%,0%,feprx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.07%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.04%,,172.37%,0.05%,55.06%,0.04%,0.01%
0.03%,0.05%,feptx,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,,,-0.02%,,172.37%,0.05%,55.06%,0.03%,0.02%
0.03%,0.04%,Tpool1_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,,-0.01%,,172.37%,0.05%,55.06%,0.02%,0.03%
0.03%,0%,Tpool0_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.01%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.08%,Tpool1_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.05%,,172.37%,0.05%,55.06%,0.04%,0.01%
0.03%,0.02%,feptx,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,,0.01%,,,172.37%,0.05%,55.06%,0.01%,0.04%
0.03%,0.05%,feptx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,,-0.02%,,172.37%,0.05%,55.06%,0.03%,0.02%
0.03%,0%,thread_FH,nr-softmodem,nr_fep0,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,feprx,libpthread-2.27.so,pthread_mutex_unlock,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,feprx,nr-softmodem,nr_fep0,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
