Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0.12%,0%,Tpool1_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.12%,,,44.08%,0.05%,82.40%,0.00%,0.05%
0.12%,0%,feptx,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,0.12%,,,44.08%,0.05%,82.40%,0.00%,0.05%
0.11%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,,,0.10%,,,44.08%,0.05%,82.40%,0.01%,0.04%
0.11%,0%,thread_FH,[kernel.kallsyms],sock_rfree,PHY,LOW PHY,,0.11%,,,44.08%,0.05%,82.40%,0.00%,0.05%
0.10%,0%,TASK_GTPV1_U,[kernel.kallsyms],ep_item_poll.isra.16,NG,,,0.10%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.10%,0.07%,thread_FH,[kernel.kallsyms],read_tsc,PHY,LOW PHY,,0.03%,,,44.08%,0.04%,82.40%,0.06%,-0.01%
0.10%,0%,thread_FH,libc-2.27.so,epoll_wait,PHY,LOW PHY,,0.10%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.10%,0.08%,RLC,queue,[.],RLC,,,0.02%,,,44.08%,0.04%,82.40%,0.07%,-0.02%
0.10%,0%,thread_FH,[kernel.kallsyms],ip_finish_output2,PHY,LOW PHY,,0.10%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.10%,0.03%,Tpool1_-1,libldpc.so,ldpc352_byte,PHY,HIGH PHY,LDPC,0.07%,,,44.08%,0.04%,82.40%,0.02%,0.02%
0.10%,0%,thread_FH,[kernel.kallsyms],__skb_datagram_iter,PHY,LOW PHY,,0.10%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.10%,0.11%,RLC,queue,[k],RLC,,,,-0.01%,,44.08%,0.04%,82.40%,0.09%,-0.05%
0.09%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],datagram_poll,NG,,,0.07%,,,44.08%,0.04%,82.40%,0.02%,0.02%
0.09%,0.09%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,0.00%,,,44.08%,0.04%,82.40%,0.07%,-0.03%
0.09%,0.06%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.03%,,,44.08%,0.04%,82.40%,0.05%,-0.01%
0.09%,0.11%,RLC,queue,[k],RLC,,,,-0.02%,,44.08%,0.04%,82.40%,0.09%,-0.05%
0.09%,0%,Tpool2_-1,libldpc.so,nrLDPC_cnProc_BG2_R13_AVX2,PHY,HIGH PHY,LDPC,0.09%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.09%,0%,Tpool0_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,0.09%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.09%,0%,Tpool2_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.09%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.09%,0.11%,RLC,queue,[k],RLC,,,,-0.02%,,44.08%,0.04%,82.40%,0.09%,-0.05%
0.09%,0%,feptx,[kernel.kallsyms],group_sched_in,PHY,LOW PHY,,0.09%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.09%,0.01%,TASK_GTPV1_U,nr-softmodem,deliver_pdu_drb,NG,,,0.08%,,,44.08%,0.04%,82.40%,0.01%,0.03%
0.09%,0.09%,thread_FH,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,,0.00%,,,44.08%,0.04%,82.40%,0.07%,-0.03%
0.08%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],sock_poll,NG,,,0.07%,,,44.08%,0.04%,82.40%,0.01%,0.03%
0.08%,0.98%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,,-0.90%,,44.08%,0.04%,82.40%,0.81%,-0.77%
0.08%,0.02%,thread_FH,[kernel.kallsyms],calc_timer_values,PHY,LOW PHY,,0.06%,,,44.08%,0.04%,82.40%,0.02%,0.02%
0.08%,0%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.08%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.08%,0.04%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.04%,,,44.08%,0.04%,82.40%,0.03%,0.00%
0.08%,0.08%,RLC,queue,[.],RLC,,,0.00%,,,44.08%,0.04%,82.40%,0.07%,-0.03%
0.08%,0%,TASK_RRC_GNB,[kernel.kallsyms],pick_next_task_fair,RRC,,,0.08%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.08%,0%,Tpool0_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,0.08%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.08%,0.02%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,,,0.06%,,,44.08%,0.04%,82.40%,0.02%,0.02%
