Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.06%,0.70%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,,-0.64%,,141.55%,0.08%,67.23%,0.47%,-0.39%
0.06%,0.06%,thread_FH,[kernel.kallsyms],sock_poll,PHY,LOW PHY,,0.00%,,,141.55%,0.08%,67.23%,0.04%,0.04%
0.06%,0.07%,Tpool0_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,,-0.01%,,141.55%,0.08%,67.23%,0.05%,0.04%
0.06%,0.59%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.53%,,141.55%,0.08%,67.23%,0.40%,-0.31%
0.06%,0.04%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,0.02%,,,141.55%,0.08%,67.23%,0.03%,0.06%
0.05%,0.01%,Tpool2_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,0.04%,,,141.55%,0.07%,67.23%,0.01%,0.06%
0.05%,0%,Tpool0_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC,0.04%,,,141.55%,0.07%,67.23%,0.00%,0.07%
0.05%,0.00%,feptx,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.05%,,,141.55%,0.07%,67.23%,0.00%,0.07%
0.05%,0.06%,thread_FH,[kernel.kallsyms],sock_rfree,PHY,LOW PHY,,,-0.01%,,141.55%,0.07%,67.23%,0.04%,0.03%
0.05%,0.04%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.01%,,,141.55%,0.07%,67.23%,0.03%,0.04%
0.05%,0.04%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.01%,,,141.55%,0.07%,67.23%,0.03%,0.04%
0.05%,0.01%,feptx,[kernel.kallsyms],update_curr_rt,PHY,LOW PHY,,0.04%,,,141.55%,0.07%,67.23%,0.01%,0.06%
0.05%,0.07%,thread_FH,[kernel.kallsyms],update_curr_rt,PHY,LOW PHY,,,-0.02%,,141.55%,0.07%,67.23%,0.05%,0.02%
0.05%,0.05%,nr-softmodem,nr-softmodem,nr_slot_select,PHY,LOW PHY,,0.00%,,,141.55%,0.07%,67.23%,0.03%,0.04%
0.05%,0.14%,RLC,queue,[.],RLC,,,,-0.09%,,141.55%,0.07%,67.23%,0.09%,-0.02%
0.05%,0.02%,Tpool1_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,0.03%,,,141.55%,0.07%,67.23%,0.01%,0.06%
0.05%,0%,thread_FH,[kernel.kallsyms],tcp_poll,PHY,LOW PHY,,0.03%,,,141.55%,0.07%,67.23%,0.00%,0.07%
0.05%,0%,Tpool1_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC,0.03%,,,141.55%,0.07%,67.23%,0.00%,0.07%
0.05%,0%,Tpool3_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.03%,,,141.55%,0.07%,67.23%,0.00%,0.07%
0.05%,0.09%,thread_FH,librfsimulator.so,flushInput,PHY,LOW PHY,,,-0.04%,,141.55%,0.07%,67.23%,0.06%,0.01%
0.04%,0%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64_stage2,PHY,LOW PHY,,-0.04%,,,141.55%,0.06%,67.23%,0.00%,0.06%
0.04%,0%,Tpool3_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,-0.04%,,,141.55%,0.06%,67.23%,0.00%,0.06%
0.04%,0.02%,thread_FH,nr-softmodem,ru_thread,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0%,thread_FH,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.00%,0.06%
0.04%,0%,thread_FH,libc-2.27.so,epoll_wait,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.00%,0.06%
0.04%,0.11%,Tpool1_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,,-0.07%,,141.55%,0.06%,67.23%,0.07%,-0.02%
0.04%,0%,thread_FH,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,-0.07%,,,141.55%,0.06%,67.23%,0.00%,0.06%
0.04%,0.02%,thread_FH,[kernel.kallsyms],tcp_rcv_established,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0.53%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.49%,,141.55%,0.06%,67.23%,0.36%,-0.30%
0.04%,0.02%,Tpool3_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0.03%,thread_FH,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,0.01%,,,141.55%,0.06%,67.23%,0.02%,0.04%
0.04%,0.02%,Tpool3_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0.03%,thread_FH,libc-2.27.so,__libc_enable_asynccancel,PHY,LOW PHY,,0.01%,,,141.55%,0.06%,67.23%,0.02%,0.04%
0.04%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0.11%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,,-0.07%,,141.55%,0.06%,67.23%,0.07%,-0.02%
0.04%,0.01%,thread_FH,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,0.03%,,,141.55%,0.06%,67.23%,0.01%,0.05%
0.04%,0.02%,thread_FH,[kernel.kallsyms],ip_finish_output2,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.04%,0.49%,Tpool0_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,,,-0.45%,,141.55%,0.06%,67.23%,0.33%,-0.27%
0.04%,0.02%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,0.02%,,,141.55%,0.06%,67.23%,0.01%,0.04%
0.03%,0.02%,thread_FH,[kernel.kallsyms],__tcp_transmit_skb,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.01%,0.03%
0.03%,0.01%,Tpool0_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,0.02%,,,141.55%,0.04%,67.23%,0.01%,0.04%
0.03%,0.09%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,,,-0.06%,,141.55%,0.04%,67.23%,0.06%,-0.02%
0.03%,0.02%,thread_FH,[kernel.kallsyms],sys_epoll_wait,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.01%,0.03%
0.03%,0%,feptx,[unknown],0xfffffe000009901b,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,thread_FH,[kernel.kallsyms],native_queued_spin_lock_slowpath,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,nr-softmodem,nr-softmodem,nr_feptx_ofdm_2thread,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.04%,nr-softmodem,nr-softmodem,tx_rf,PHY,LOW PHY,,,-0.01%,,141.55%,0.04%,67.23%,0.03%,0.02%
0.03%,0.09%,Tpool0_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.06%,,141.55%,0.04%,67.23%,0.06%,-0.02%
0.03%,0%,thread_FH,[kernel.kallsyms],skb_release_head_state,PHY,LOW PHY,,-0.06%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool3_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC,-0.06%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.38%,RLC,queue,[k],RLC,,,,-0.35%,,141.55%,0.04%,67.23%,0.26%,-0.21%
